date,bfpd,intake_pressure_psi,motor_temp_f,motor_amps,runtime_pct,drive_freq_hz,current_imbalance_pct
2026-03-27,2483.46237240458,112.3514798055769,292.35999532424046,56.79869621350174,98.12726533320478,58.153423561073694,2.7037484625755086
2026-03-28,2282.463099796952,111.31382991171377,294.47124667829354,62.77034429750634,98.72405386193732,58.11992549300882,2.7071500854037245
2026-03-29,2211.181160046275,142.8637512867909,288.493751196763,66.04564363426468,99.68342062194624,57.26400416707189,2.6931611463056133
2026-03-30,2049.0035313790963,133.43622088379655,298.79399538087455,65.83900327464026,99.24778264365892,58.184845780351246,3.021522072881732
2026-03-31,2357.612140370077,125.34295847402608,285.62315681751664,62.532403273776055,98.2449576319324,58.128210438624464,1.4907737040825342
2026-04-01,2549.7127647133348,130.17028146140095,286.72961809326335,59.653931963670175,100.0,57.68422344989837,3.024636521891161
2026-04-02,2403.9687148163152,122.2375656981298,288.47622596480034,61.55682293352143,98.17585881018238,58.13514483446887,3.8125416961204
2026-04-03,2461.421283321699,119.96908754722135,294.03312296791,58.230827201405056,99.49807803020406,57.79082563545207,3.780787033686396
2026-04-04,2522.7885856396156,120.83177758057138,286.2744385142715,58.13324612388389,99.5803085861868,58.95606896343801,3.8181502040703488
2026-04-05,2294.1424982328126,133.24910824811408,285.3804511034495,66.16790405438293,100.0,57.566453769082486,3.3587220329080227
2026-04-06,2718.2744036603453,146.99531039578457,289.5224241638651,62.24340984138037,98.31246673603358,57.6915521274696,3.223343813106377
2026-04-07,2294.7710097292343,119.83197774731255,295.49908325272594,64.12896636023564,99.01998262543478,57.18564903998956,4.9701508153400376
2026-04-08,2444.826367462544,125.58104698925875,285.5006073844069,62.472910389275924,98.84747896040696,57.88604089095093,2.8531365321018343
2026-04-09,2728.7496981739423,123.05431019802296,280.33408649026677,67.37597424977517,99.91825861165829,58.088730603500345,3.1912251455115466
2026-04-10,2386.2897105418033,107.14564077997548,287.21489162198463,67.8215754452858,99.31329536790898,58.044103051856325,4.275316380662169
2026-04-11,2413.715341645085,129.54275359280368,291.7425787937909,61.288311066460956,99.34221738014192,57.78181840520457,3.070389361792399
2026-04-12,2338.57445465367,138.4826890515937,284.7432487761546,62.62628852765254,99.44144998923618,58.38623437679622,1.7425444490692537
2026-04-13,2440.143178032529,112.54350897706694,288.74548281252095,61.80669904232602,100.0,58.130193680462625,2.482263017314623
2026-04-14,2144.7979564342622,137.4128196640752,276.7860774753711,67.89342352483783,99.5538568333824,58.50870427605601,2.602048270841443
