date,injection_gas_mcfd,bopd,bwpd
2024-03-03,1869.302,196.5,416.6
2024-03-04,1831.927,205.8,389.0
2024-03-05,1850.246,195.8,416.9
2024-03-06,1910.303,200.4,413.3
2024-03-07,1875.969,195.7,412.1
2024-03-08,1869.387,200.0,416.4
2024-03-09,1914.467,221.6,433.6
2024-03-10,1907.356,216.5,414.0
2024-03-11,1883.987,230.3,456.3
2024-03-12,1878.0,202.9,426.0
2024-03-13,1881.039,198.4,419.1
2024-03-14,1887.805,213.8,411.2
2024-03-15,1913.664,213.8,418.3
2024-03-16,1891.484,213.4,422.5
2024-03-17,1897.202,224.7,452.4
2024-03-18,1905.55,206.7,397.6
2024-03-19,1861.496,221.2,424.4
2024-03-20,1897.745,212.2,418.2
2024-03-21,1877.978,191.7,393.7
2024-03-22,1836.135,218.6,423.9
2024-03-23,12.485,86.9,176.8
2024-03-24,12.626,77.0,165.5
2024-03-25,12.824,85.7,165.4
2024-03-26,12.771,77.3,156.6
2024-03-27,17.245,76.7,164.5
2024-03-28,17.549,88.1,176.8
2024-03-29,16.994,83.2,165.9
2024-03-30,17.208,76.9,165.9
2024-03-31,23.297,86.2,174.0
2024-04-01,23.056,80.0,172.3
2024-04-02,23.233,82.0,171.0
2024-04-03,22.855,88.0,177.2
2024-04-04,31.784,81.2,169.8
2024-04-05,31.128,82.3,170.9
2024-04-06,31.978,84.2,180.7
2024-04-07,31.332,91.2,181.9
2024-04-08,42.727,92.9,190.4
2024-04-09,42.269,86.3,176.1
2024-04-10,42.279,89.9,189.9
2024-04-11,42.045,88.4,172.6
2024-04-12,57.136,95.1,203.8
2024-04-13,57.249,86.1,179.9
2024-04-14,56.62,100.1,192.9
2024-04-15,56.997,85.7,185.4
2024-04-16,76.537,95.8,217.5
2024-04-17,78.777,94.9,203.2
2024-04-18,76.937,87.4,191.0
2024-04-19,78.196,93.3,191.5
2024-04-20,103.708,108.6,206.2
2024-04-21,104.18,110.4,207.9
2024-04-22,102.538,98.9,204.8
2024-04-23,103.446,102.2,203.5
2024-04-24,140.511,113.0,221.8
2024-04-25,142.439,107.8,219.9
2024-04-26,140.527,99.2,208.9
2024-04-27,142.156,108.1,207.1
2024-04-28,190.416,117.5,235.6
2024-04-29,192.283,115.1,252.6
2024-04-30,189.092,126.1,245.7
2024-05-01,193.726,115.8,246.6
2024-05-02,254.069,127.6,255.5
2024-05-03,253.352,125.8,264.0
2024-05-04,252.219,116.7,251.2
2024-05-05,261.26,121.8,257.7
2024-05-06,347.331,128.4,273.9
2024-05-07,343.357,133.9,260.0
2024-05-08,348.811,133.9,288.3
2024-05-09,346.877,141.2,277.8
2024-05-10,474.013,153.4,317.7
2024-05-11,457.678,150.9,312.5
2024-05-12,463.639,148.7,311.1
2024-05-13,462.723,151.1,314.0
2024-05-14,614.91,166.9,328.7
2024-05-15,633.942,174.1,335.1
2024-05-16,625.595,154.8,329.7
2024-05-17,631.93,165.8,342.1
2024-05-18,866.429,177.5,382.9
2024-05-19,843.464,173.5,354.2
2024-05-20,842.889,186.0,357.2
2024-05-21,847.459,168.6,360.7
2024-05-22,1153.466,189.3,380.8
2024-05-23,1135.716,180.1,374.3
2024-05-24,1134.983,204.2,405.6
2024-05-25,1154.264,189.3,417.9
2024-05-26,1547.084,210.5,413.9
2024-05-27,1509.734,218.0,439.3
2024-05-28,1522.362,198.1,407.2
2024-05-29,1564.386,232.9,453.5
2024-05-30,2088.091,202.9,421.4
2024-05-31,2063.88,198.5,437.5
2024-06-01,2076.188,206.5,413.2
2024-06-02,2080.007,207.3,431.9
2024-06-03,2826.998,235.2,425.5
2024-06-04,2768.233,209.1,427.0
2024-06-05,2782.75,226.9,457.6
2024-06-06,2814.01,217.2,428.2
2024-06-07,1881.646,200.4,431.1
2024-06-08,1894.298,199.7,402.6
2024-06-09,1860.369,209.5,425.1
2024-06-10,1890.253,206.5,415.2
2024-06-11,1904.087,212.1,398.1
2024-06-12,1892.696,205.7,399.9
2024-06-13,1886.147,220.4,471.3
2024-06-14,1881.721,216.1,402.1
2024-06-15,1867.802,197.6,390.4
2024-06-16,1882.171,201.8,405.5
2024-06-17,1907.254,194.0,430.3
2024-06-18,1881.285,204.6,433.8
2024-06-19,1866.767,213.1,425.1
2024-06-20,1874.255,202.1,439.3
2024-06-21,1887.31,204.4,404.4
2024-06-22,1876.492,201.4,431.7
2024-06-23,1892.668,206.3,396.9
2024-06-24,1893.375,193.5,416.1
2024-06-25,1900.271,200.2,402.1
2024-06-26,1910.34,201.8,394.1
2024-06-27,1902.284,215.5,436.5
2024-06-28,1865.93,208.8,432.7
2024-06-29,1866.508,216.2,432.5
2024-06-30,1882.1,201.9,423.8
