date,injection_gas_mcfd,bopd,bwpd
2024-03-03,2156.579,585.7,358.4
2024-03-04,2158.455,584.0,354.0
2024-03-05,2164.721,599.6,366.4
2024-03-06,2166.713,621.2,371.8
2024-03-07,2147.956,558.1,349.7
2024-03-08,2197.297,611.8,369.9
2024-03-09,2188.996,639.0,404.1
2024-03-10,2163.196,644.2,383.0
2024-03-11,2183.752,593.9,366.4
2024-03-12,2174.665,578.4,350.0
2024-03-13,2185.448,625.4,376.0
2024-03-14,2140.659,552.1,339.7
2024-03-15,2166.668,641.1,385.7
2024-03-16,2168.569,621.7,353.2
2024-03-17,2183.36,675.5,380.0
2024-03-18,2156.192,563.2,351.9
2024-03-19,2115.584,627.2,391.5
2024-03-20,2146.357,599.1,379.9
2024-03-21,2168.504,604.2,366.0
2024-03-22,2171.215,585.5,343.9
2024-03-23,16.056,224.6,134.8
2024-03-24,15.882,224.3,136.0
2024-03-25,15.803,236.1,139.6
2024-03-26,15.785,223.7,141.0
2024-03-27,21.542,213.7,136.6
2024-03-28,21.181,213.2,130.7
2024-03-29,21.277,211.0,127.8
2024-03-30,21.075,238.9,140.3
2024-03-31,29.159,219.8,138.2
2024-04-01,28.864,243.2,147.7
2024-04-02,28.548,235.0,141.4
2024-04-03,28.718,231.7,142.0
2024-04-04,38.994,236.8,141.5
2024-04-05,38.699,244.2,148.5
2024-04-06,38.589,241.1,141.1
2024-04-07,38.542,232.2,144.5
2024-04-08,52.528,256.9,155.3
2024-04-09,52.164,245.4,152.9
2024-04-10,52.113,241.8,145.9
2024-04-11,51.652,255.3,154.2
2024-04-12,70.696,266.5,156.9
2024-04-13,70.513,267.5,165.1
2024-04-14,70.414,261.3,155.1
2024-04-15,70.782,252.7,151.3
2024-04-16,96.035,303.4,183.8
2024-04-17,95.991,300.9,182.9
2024-04-18,95.849,298.1,173.4
2024-04-19,95.093,279.2,168.2
2024-04-20,127.897,300.7,185.7
2024-04-21,127.283,324.2,194.7
2024-04-22,127.863,302.8,182.5
2024-04-23,128.651,298.8,181.8
2024-04-24,172.201,361.3,218.3
2024-04-25,173.732,339.2,200.5
2024-04-26,171.89,359.4,217.6
2024-04-27,170.682,313.2,194.4
2024-04-28,236.125,384.4,227.1
2024-04-29,233.095,403.5,242.4
2024-04-30,232.245,376.0,220.4
2024-05-01,231.644,363.6,225.4
2024-05-02,317.37,394.4,238.5
2024-05-03,320.378,436.1,258.9
2024-05-04,314.759,399.2,242.4
2024-05-05,315.352,415.4,244.5
2024-05-06,431.019,440.3,260.2
2024-05-07,418.728,489.1,286.1
2024-05-08,434.836,486.1,287.1
2024-05-09,436.872,454.6,284.6
2024-05-10,559.868,478.3,284.7
2024-05-11,574.881,530.5,325.1
2024-05-12,571.305,497.5,295.4
2024-05-13,573.918,476.2,293.9
2024-05-14,773.242,509.1,301.0
2024-05-15,782.794,530.0,321.5
2024-05-16,775.616,511.2,310.2
2024-05-17,769.417,517.4,331.5
2024-05-18,1045.977,589.7,362.8
2024-05-19,1053.175,571.0,341.1
2024-05-20,1035.378,579.5,357.0
2024-05-21,1030.532,547.1,349.0
2024-05-22,1442.031,609.6,355.1
2024-05-23,1404.773,648.6,385.1
2024-05-24,1411.914,591.0,356.1
2024-05-25,1408.232,609.4,365.6
2024-05-26,1918.287,573.4,344.7
2024-05-27,1941.652,654.9,384.5
2024-05-28,1918.895,590.5,370.1
2024-05-29,1878.863,643.1,376.5
2024-05-30,2538.758,612.1,369.2
2024-05-31,2564.12,623.1,387.2
2024-06-01,2567.485,630.7,382.0
2024-06-02,2530.061,608.2,360.0
2024-06-03,3502.296,650.0,381.3
2024-06-04,3436.097,597.8,360.3
2024-06-05,3525.708,638.8,380.1
2024-06-06,3537.079,604.5,368.2
2024-06-07,2164.442,628.6,368.3
2024-06-08,2179.353,596.5,368.6
2024-06-09,2143.097,612.6,372.3
2024-06-10,2183.361,585.0,356.1
2024-06-11,2159.019,610.1,382.7
2024-06-12,2146.237,615.6,369.1
2024-06-13,2163.55,602.9,359.0
2024-06-14,2159.723,613.8,367.1
2024-06-15,2162.773,616.5,371.9
2024-06-16,2190.435,597.8,361.5
2024-06-17,2152.789,613.5,364.4
2024-06-18,2207.475,598.7,345.4
2024-06-19,2141.077,672.8,402.3
2024-06-20,2204.881,636.3,389.0
2024-06-21,2147.772,618.0,375.7
2024-06-22,2169.806,633.9,395.4
2024-06-23,2159.192,553.7,351.6
2024-06-24,2162.37,545.7,336.8
2024-06-25,2187.217,595.0,372.7
2024-06-26,2202.372,574.6,354.7
2024-06-27,2195.661,597.2,377.0
2024-06-28,2161.044,606.8,384.4
2024-06-29,2173.826,629.3,390.2
2024-06-30,2152.859,580.5,357.8
