date,injection_gas_mcfd,bopd,bwpd
2024-03-03,1676.498,433.8,372.0
2024-03-04,1676.249,435.8,394.1
2024-03-05,1671.467,429.8,375.2
2024-03-06,1700.948,454.5,391.3
2024-03-07,1658.846,395.2,360.1
2024-03-08,1628.952,423.2,380.6
2024-03-09,1688.923,399.6,350.7
2024-03-10,1654.648,396.9,369.3
2024-03-11,1664.049,456.7,402.8
2024-03-12,1684.024,445.8,398.5
2024-03-13,1635.622,416.5,374.8
2024-03-14,1641.45,407.9,357.9
2024-03-15,1635.639,377.0,341.2
2024-03-16,1649.055,424.1,373.1
2024-03-17,1669.564,474.8,419.1
2024-03-18,1670.969,430.0,399.2
2024-03-19,1666.848,426.8,370.0
2024-03-20,1638.772,452.6,377.4
2024-03-21,1623.856,394.8,369.0
2024-03-22,1663.159,410.9,394.4
2024-03-23,10.713,151.0,133.3
2024-03-24,10.814,153.1,129.4
2024-03-25,10.84,155.1,137.3
2024-03-26,10.779,152.3,134.9
2024-03-27,14.635,157.8,140.2
2024-03-28,14.558,151.2,130.8
2024-03-29,14.602,157.5,143.0
2024-03-30,14.423,161.9,146.8
2024-03-31,19.564,154.7,132.4
2024-04-01,19.638,150.9,137.4
2024-04-02,19.761,161.9,153.2
2024-04-03,19.523,156.2,140.2
2024-04-04,26.585,174.2,154.1
2024-04-05,26.377,161.4,143.6
2024-04-06,26.416,172.2,156.4
2024-04-07,26.667,168.9,143.6
2024-04-08,34.976,173.0,155.2
2024-04-09,35.225,183.5,162.1
2024-04-10,35.159,165.1,155.3
2024-04-11,34.855,165.4,147.0
2024-04-12,47.83,175.2,164.1
2024-04-13,48.517,189.2,163.7
2024-04-14,48.019,169.9,154.3
2024-04-15,48.252,186.7,168.3
2024-04-16,65.689,194.9,169.8
2024-04-17,65.844,205.6,184.6
2024-04-18,64.936,174.7,161.4
2024-04-19,65.861,191.7,169.6
2024-04-20,87.765,203.7,173.4
2024-04-21,86.95,206.0,183.9
2024-04-22,87.163,217.9,189.7
2024-04-23,86.386,212.1,187.6
2024-04-24,117.269,232.0,206.7
2024-04-25,117.896,238.3,202.8
2024-04-26,119.27,242.5,206.8
2024-04-27,120.356,225.1,203.8
2024-04-28,157.451,268.1,235.9
2024-04-29,160.285,276.6,229.7
2024-04-30,157.997,260.5,237.8
2024-05-01,160.416,265.4,238.9
2024-05-02,215.157,295.4,258.5
2024-05-03,211.495,316.3,272.1
2024-05-04,217.44,286.0,261.6
2024-05-05,214.136,283.8,256.0
2024-05-06,289.158,300.8,287.4
2024-05-07,287.6,304.9,275.5
2024-05-08,288.808,302.8,273.4
2024-05-09,291.954,310.7,276.2
2024-05-10,391.537,347.8,317.9
2024-05-11,393.568,354.9,322.6
2024-05-12,393.699,348.0,322.0
2024-05-13,397.46,345.7,304.2
2024-05-14,527.519,397.5,350.6
2024-05-15,521.516,394.2,347.3
2024-05-16,534.983,376.2,343.6
2024-05-17,527.579,364.1,339.2
2024-05-18,722.234,416.9,367.5
2024-05-19,717.011,410.4,362.1
2024-05-20,713.336,379.6,342.1
2024-05-21,716.764,405.2,359.4
2024-05-22,982.631,419.7,385.0
2024-05-23,983.845,417.8,350.0
2024-05-24,964.495,427.9,373.2
2024-05-25,965.37,399.7,349.1
2024-05-26,1314.566,464.9,388.7
2024-05-27,1289.57,454.9,395.2
2024-05-28,1304.901,428.8,373.1
2024-05-29,1300.232,435.2,386.5
2024-05-30,1760.472,383.5,353.5
2024-05-31,1740.338,412.2,365.6
2024-06-01,1727.067,431.6,374.3
2024-06-02,1718.583,412.6,367.8
2024-06-03,2341.653,437.6,402.6
2024-06-04,2357.252,472.1,410.1
2024-06-05,2361.17,416.3,362.2
2024-06-06,2413.989,414.0,375.6
2024-06-07,1680.64,435.9,386.9
2024-06-08,1646.264,454.2,413.2
2024-06-09,1668.036,409.6,365.6
2024-06-10,1655.489,430.7,392.4
2024-06-11,1657.529,468.3,406.1
2024-06-12,1665.337,402.2,359.0
2024-06-13,1672.548,409.7,363.7
2024-06-14,1656.617,430.1,371.0
2024-06-15,1679.94,430.5,367.7
2024-06-16,1643.274,440.4,401.0
2024-06-17,1662.361,436.7,386.1
2024-06-18,1705.436,405.6,351.8
2024-06-19,1665.964,440.0,391.8
2024-06-20,1686.08,414.3,382.0
2024-06-21,1663.777,466.3,390.3
2024-06-22,1671.91,428.2,366.4
2024-06-23,1661.312,424.7,369.5
2024-06-24,1659.423,431.2,401.4
2024-06-25,1649.299,441.9,397.8
2024-06-26,1669.409,433.8,395.9
2024-06-27,1648.101,407.6,352.4
2024-06-28,1673.32,446.4,386.2
2024-06-29,1680.296,410.3,371.1
2024-06-30,1668.349,434.3,388.5
