date,injection_gas_mcfd,bopd,bwpd
2024-03-03,612.921,562.4,436.0
2024-03-04,612.967,526.5,424.1
2024-03-05,604.927,537.7,416.8
2024-03-06,610.327,546.2,414.7
2024-03-07,622.741,561.1,439.3
2024-03-08,609.235,587.4,447.8
2024-03-09,605.118,581.3,441.5
2024-03-10,608.283,572.3,428.0
2024-03-11,609.904,518.0,412.4
2024-03-12,608.421,541.8,388.4
2024-03-13,609.151,562.7,440.8
2024-03-14,600.547,527.6,399.8
2024-03-15,603.476,552.7,419.4
2024-03-16,608.432,551.7,442.6
2024-03-17,608.335,535.0,402.7
2024-03-18,605.892,536.9,404.5
2024-03-19,608.263,554.6,424.0
2024-03-20,609.714,564.6,437.9
2024-03-21,614.762,583.5,442.4
2024-03-22,608.738,579.8,426.5
2024-03-23,10.905,226.0,169.4
2024-03-24,10.802,213.1,169.1
2024-03-25,10.923,213.4,164.0
2024-03-26,10.902,217.4,168.8
2024-03-27,14.783,232.8,177.4
2024-03-28,14.76,233.2,175.8
2024-03-29,14.742,205.1,164.5
2024-03-30,14.641,221.5,169.1
2024-03-31,19.825,247.7,187.8
2024-04-01,19.987,233.1,184.1
2024-04-02,19.647,223.4,168.1
2024-04-03,19.652,258.8,195.4
2024-04-04,26.734,243.9,187.1
2024-04-05,26.797,248.1,190.3
2024-04-06,26.466,247.0,190.8
2024-04-07,26.666,234.7,190.3
2024-04-08,35.976,247.6,191.6
2024-04-09,35.212,284.2,204.7
2024-04-10,35.93,265.2,205.2
2024-04-11,35.953,264.3,202.9
2024-04-12,48.513,277.4,213.1
2024-04-13,49.278,260.6,201.2
2024-04-14,48.0,284.6,218.2
2024-04-15,48.19,262.0,200.7
2024-04-16,63.854,290.4,226.4
2024-04-17,65.252,273.4,206.7
2024-04-18,65.308,270.0,202.0
2024-04-19,65.233,284.2,236.1
2024-04-20,89.455,309.1,232.6
2024-04-21,89.236,291.0,223.9
2024-04-22,88.544,328.2,242.0
2024-04-23,88.147,341.7,263.0
2024-04-24,120.612,370.3,277.1
2024-04-25,119.363,344.1,260.9
2024-04-26,118.409,341.1,269.0
2024-04-27,117.337,354.4,275.3
2024-04-28,160.387,395.6,308.1
2024-04-29,162.313,385.1,281.8
2024-04-30,164.765,376.9,303.5
2024-05-01,161.197,391.6,291.1
2024-05-02,215.718,422.6,337.6
2024-05-03,214.806,413.1,325.6
2024-05-04,218.582,417.9,325.5
2024-05-05,213.546,447.0,335.2
2024-05-06,294.946,487.1,375.2
2024-05-07,295.73,477.3,361.6
2024-05-08,294.611,497.1,381.6
2024-05-09,292.687,458.5,349.4
2024-05-10,398.052,552.7,401.6
2024-05-11,396.492,510.9,403.7
2024-05-12,392.736,572.0,437.8
2024-05-13,403.14,487.2,369.0
2024-05-14,532.228,530.8,401.2
2024-05-15,538.25,550.4,426.3
2024-05-16,521.188,554.3,415.2
2024-05-17,540.924,601.8,434.7
2024-05-18,731.299,553.3,429.0
2024-05-19,720.928,587.2,456.7
2024-05-20,724.74,598.4,456.6
2024-05-21,724.738,594.3,442.2
2024-05-22,966.265,563.5,433.3
2024-05-23,977.837,630.6,465.3
2024-05-24,964.652,622.7,464.8
2024-05-25,966.596,605.9,455.6
2024-05-26,1327.084,594.0,465.9
2024-05-27,1325.086,602.8,458.0
2024-05-28,1303.025,595.9,451.7
2024-05-29,1302.668,596.2,481.6
2024-05-30,1759.354,595.7,461.2
2024-05-31,1783.76,574.9,445.0
2024-06-01,1753.079,574.7,436.6
2024-06-02,1777.103,583.4,440.5
2024-06-03,2407.311,618.4,447.6
2024-06-04,2387.357,590.6,464.8
2024-06-05,2413.6,600.0,465.7
2024-06-06,2382.194,611.2,466.6
2024-06-07,608.039,542.8,414.8
2024-06-08,603.387,582.7,455.8
2024-06-09,615.54,560.9,412.8
2024-06-10,604.671,549.4,414.9
2024-06-11,611.473,574.5,427.6
2024-06-12,608.908,504.7,405.7
2024-06-13,602.927,532.1,417.7
2024-06-14,605.631,591.9,428.2
2024-06-15,617.769,527.6,388.8
2024-06-16,610.571,582.0,444.9
2024-06-17,603.193,591.9,448.4
2024-06-18,611.203,556.5,412.1
2024-06-19,608.452,549.8,444.0
2024-06-20,630.389,582.1,450.2
2024-06-21,611.079,543.0,421.8
2024-06-22,607.023,579.6,436.5
2024-06-23,617.995,537.9,420.6
2024-06-24,598.124,546.1,414.7
2024-06-25,609.917,540.1,411.2
2024-06-26,621.495,561.6,437.8
2024-06-27,608.634,592.6,435.3
2024-06-28,598.78,540.2,432.3
2024-06-29,606.93,526.3,405.7
2024-06-30,618.205,525.4,416.9
